name,lab_description,website,recruitingStatus,department,building_name
Auditing Algorithms,Examines the social consequencies and potential biases of commonplace algorithmic systems.,https://personalization.ccs.neu.edu/,1,Computer Science,NULL
Algorithms and Theory ,"Solves complex computational problems in algorithmic game theory, cryptography and learning theory",https://www2.ccs.neu.edu/theory/index.html,0,Computer Science,NULL
Applied Machine Learning Group,Focuses on core issues and real-world applications of machine learning ,https://carla.khoury.northeastern.edu/applied-machine-learning-group/#_ga=2.163885119.1214471716.1615096785-1696423499.1564006309,1,Computer Science,NULL
Center for Complex Network Research,"Investigates how networks emerge, what they look like, how they evolve and more. ",https://www.barabasilab.com/,1,Computer Science,177 Huntington
Cognitive Embodied Social Agents Research (CESAR) Lab,Works on computational modeling of human behavior for study and education and analysis applications,https://web.northeastern.edu/cesar/#_ga=2.133601294.1214471716.1615096785-1696423499.1564006309,1,Computer Science,West Village H
Collaborative Social Systems Lab,"Explores collaboration in distributed environments using modeling, experiments and data analysis",https://www.christophriedl.net/,1,Computer Science,177 Huntington
Communication Analysis and Design Laboratory (CADLAB),Conducts interdisciplinary work on speech communication and human-computer interaction,https://web.northeastern.edu/cadlab/#_ga=2.92647453.1214471716.1615096785-1696423499.1564006309,0,Computer Science,Forsyth Building
Consortium on Technology for Proactive Care,"Leverages behavioral informatics to develop affordable, technology based healthcare solutions",https://ctpc.khoury.northeastern.edu/nuhome-2/,0,Computer Science,Richards Hall
Data Visualization,"Explores visualization for human perception and vision, visual encodings, design tihnking, and more.",https://visualization.khoury.northeastern.edu/people/,1,Data Science,Roux Institute
Databases (Data Lab),Studies research problems and practical applications in scalable data management and analysis.,https://db.khoury.northeastern.edu/#_ga=2.95916444.1214471716.1615096785-1696423499.1564006309,1,Data Science,NULL
Formal Methods Group,"Conducts work on automated theorems, concurrency, formal verification, model checking, and more.",https://pmanolios.gitlab.io/nu-fm/,0,Computer Science,NULL
Game User Interaction and Intelligence (GUII) Lab,"Focuses on design, user experience, and AI algorithms within games and interactive media.",https://web.northeastern.edu/guii/#_ga=2.157063611.1214471716.1615096785-1696423499.1564006309,0,Computer Science,NULL
Helping Hands Lab,"Develops perception, planning, and control algorithms for robots in built-for-human environments",https://www2.ccs.neu.edu/research/helpinghands/index.html,1,Computer Science,Interdisciplinary Science and Engineering Center
Institute for Experiential Robotics,Uses AI to design machines that adapt to people - and creates a seamless human-robot experience.,https://www.northeastern.edu/robotics/#_ga=2.136220977.1214471716.1615096785-1696423499.1564006309,0,Robotics,NULL
Lab for Learning and Planning in Robotics,We work on planning and reinforcement learning methods for dealing with realistic partial observable and/or multi-agent settings in autonomous systems.,https://llpr.ccs.neu.edu/#_ga=2.133092366.1214471716.1615096785-1696423499.1564006309,0,Robotics,Interdisciplinary Science and Engineering Center
Lazer Lab,"Explores complex research problems around social influence, social networks, and network science.",http://www.lazerlab.net/,0,Computer Science,Richards Hall
"Mathematical, Computational and Applied Data Science (MCADS) Lab","Develops data algorithms, techniques, and methodologies to analyze and solve complex problems.",http://www.ccs.neu.edu/home/eelhami/mcadsLab.htm#_ga=2.100104222.1214471716.1615096785-1696423499.1564006309,1,Computer Science,West Village H
mHealth Research Group,"Invents and validates systems, methodologies, and algorithms for new mobile health applications.",https://www.mhealthgroup.org/,0,Computer Science,177 Huntington
Modeling of Biological and Socio-technical Systems (MOBS) Lab,Creates models and tools to understand and anticipate large-scale complex networks and systems.,https://www.mobs-lab.org/contact.html,0,Computer Science,177 Huntington
Mon(IoT)r Lab,"Investigates personal information, data, and privacy risks from Internet of things (IoT) devices.",https://moniotrlab.ccis.neu.edu/#_ga=2.86954392.1214471716.1615096785-1696423499.1564006309,1,Computer Science,Interdisciplinary Science and Engineering Center
Network and Distributed Systems Security (NDS2),"Works on distributed systems and network protocols to boost security, availability, and performance.",https://nds2.ccs.neu.edu/#_ga=2.90685082.1214471716.1615096785-1696423499.1564006309,0,Computer Science,NULL
Northeastern Center for Technology in Support of Self-Management and Health,Develops nursing research expertise and effective technology interventions for at-risk adults.,https://web.northeastern.edu/nucare/#_ga=2.64984111.1214471716.1615096785-1696423499.1564006309,0,Nursing,NULL
Northeastern Natural Language Processing (NLP) Research Group,"Researches computational social science, information retrieval, machine learning, and more.",https://nlp.khoury.northeastern.edu/#_ga=2.91543194.1214471716.1615096785-1696423499.1564006309,0,Computer Science,NULL
Northeastern University Visualization Consortium (NUVis),"Supports cross-university visualization research and connects faculty, researchers, and students.",https://nuvis.northeastern.edu/#_ga=2.69180049.1214471716.1615096785-1696423499.1564006309,0,Data Science,NULL
"NULab for Texts, Maps, and Networks","Supports Digital Humanities and Computational Social Science research, coursework, and more.",https://web.northeastern.edu/nulab/#_ga=2.158110906.1214471716.1615096785-1696423499.1564006309,0,Data Science,NULL
Programming Research Laboratory,"Conducts research on the design, implementation, and analysis of programming languages, and more.",http://prl.ccs.neu.edu/#_ga=2.57671082.1214471716.1615096785-1696423499.1564006309,1,Computer Science,West Village H
Relational Agents Group,"Designs conversational agents for healthcare, such as simulating face-to-face counseling.",http://relationalagents.com/,0,Computer Science,NULL
Solid State Storage Lab,Works on flash algorithms and devices and other emerging storage technologies.,http://sssl.khoury.northeastern.edu/index.php?n=Main.HomePage,0,Computer Science,NULL
