title,description,lab
Algorithm Auditing,Examines the social consequences and potential biases of commonplace algorithmic systems,Algorithm Auditing
Algorithms and Theory ,"solves complex computational problems in algorithmic game theory, cryptography and learning theory",Algorithms and Theory 
Applied Machine Learning Group,focuses on core issues and real-world applications of machine learning ,Applied Machine Learning Group
Center for Complex Network Research,"investigates how networks emerge, what they look like, how they evolve and more. ",Center for Complex Network Research
Cognitive Embodied Social Agents Research (CESAR) Lab,Works on computational modeling of human behavior for study and education and analysis applications,Cognitive Embodied Social Agents Research (CESAR) Lab
Collaborative Social Systems Lab,"Explores collaboration in distributed environments using modeling, experiments and data analysis",Collaborative Social Systems Lab
Communication Analysis and Design Laboratory (CADLAB),Conducts interdisciplinary work on speech communication and human-computer interaction,Communication Analysis and Design Laboratory (CADLAB)
Consortium on Technology for Proactive Care,"Leverages behavioral informatics to develop affordable, technology based healthcare solutions",Action Lab
From Action to Interaction; Complex Object Manipulation:,"This research examines human interaction with complex objects, in particular complex objects with internal dynamics. Using the exemplary task of carrying a cup of coffee we examine how interaction ensures predictability of the object dynamics.",Action Lab
Assessment of Stability in Complex Human Movements:,This research develops mathematical tools to assess dynamic stability in human trajectories that do not map onto known attractors.,Action Lab
The MAGIC Table: A Motion-Analysis Device for Upper-Limb Research:,"Complementary to our work on predictability in human object control, this line of research examines whether the motor coordination challenges in individuals with autism are due to difficulties in prediction.",Action Lab
Computational modelling of intestinal drug delivery environment,Computational modeling of the intestinal drug delivery environment to predict the influence of delivery agents on oral drug absorption.,Advanced Drug Delivery Research Laboratory
Analysis and modulation of mucus barrier properties,Analysis of transport through intestinal mucus for understanding drug-mucus interactions and how they are influenced by delivery agents.,Advanced Drug Delivery Research Laboratory
Biomaterials for regenerative medicine,Development of biomaterials for intestinal and retinal tissue engineering.,Advanced Drug Delivery Research Laboratory
"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",,Affective and Brain Sciences Lab
Modeling networks and network dynamics,,Affective and Brain Sciences Lab
Neural basis of affective experience,,Affective and Brain Sciences Lab
Cognitive control in social and affective neuroscience,,Affective and Brain Sciences Lab
Concepts and Emotion,,Affective and Brain Sciences Lab
Examining how the braing regulates aging and resilience to stress,"We use the nematode C. elegans as a tractable model organism to investigate how the brain regulates aging and resilience at cellular, tissue, and organismic levels.",Apfeld Lab
In Silico Small Molecule Design,"Our group uses computational and database tools for compound design and data analyses. Drug discovery projects currently ongoing in our group involve targets for ALS, Parkinsonís, cardiac diseases, and SARS-CoV-2 (the virus that causes covid-19).",Ondrechen Research Group
Remote residue participation in Enzyme catalysis,"We study the effect of remote residues in enzyme catalysis using computational predictions and experimental verification by site-directed mutagenesis, kinetics assays, and ligand binding studies.",Ondrechen Research Group
Superfamily and Structural Genomics Research,We are using tools developed in our group (POOL and SALSA) to predict the functionally important residues in protein structures. These patterns of predicted residues are then used to uncover the function of Structural Genomics proteins.,Ondrechen Research Group
Persisters,"Persisters are dormant variants of regular cells which are tolerant to antibiotics and responsible for recalcitrance of a variety of chronic infections, including tuberculosis and those caused by microbial biofilms. We identified a number of mechanisms for persister formation, and the first compound that kills them, acyldepsipeptide.",Lewis Lab
Uncultured Bacteria,"Uncultured bacteria make up the majority of species on the planet, but do not grow in the lab. We developed a general method to grow these organisms by cultivation in their natural environment. In marine sediment, siderophores from neighbors serve as growth factors for uncultured bacteria. We have recently identified growth factors for uncultured bacteria from the human microbiome. We also use uncultured bacteria as a source for discovering new antibiotics.",Lewis Lab
Lyme Disease,"Our goal is to understand the nature of PTLDS (Chronic Lyme Disease) and identify treatments for this debilitating condition. We are conducting experiments to understand the nature of persistence in Borrelia burgdorferi, and have a high-throughput drug discovery program to identify novel antimicrobials with potent and specific activity against the pathogen.",Lewis Lab
Drug Discovery,"We have an active natural product drug discovery program with a focus on compounds active against Gram Negative pathogens, Mycobacterium tuberculosis and Borrelia burgdorferi.",Lewis Lab
Nutrient enrichment of marshes,We have spent the last ~15 years adding nutrients to salt marshes to see how they respond as part of the NSF Funded TIDE project.,Bowen Lab
Restoring salt marsh ecosystem services,"Restoring salt marshes often targets bringing back native marsh vegetation, but we are working to understand whether or not that process also restores nitrogen removal. ",Bowen Lab
Controls on nitrous oxide fluxes,"Nitrous oxide is a greenhouse gas with a global warming potential nearly 300x that of carbon dioxide. As we enrich our coastal waters with anthropogenic N, the question is, are we increasing N2O flux to the environment? ",Bowen Lab
Understanding marsh carbon storage,Salt marshes are highly productive ecosystems and their ability to store carbon is one way we can help fight the battle against climate change. We are working to understand what controls rates of carbon storage in marsh sediments.,Bowen Lab
Plant Microbe interactions,"The interactions among above- and below-ground plant traits, plant species and genotypic diversity, and soil microbes are critically important for both plant success and resulting ecosystem services.",Bowen Lab
Animal Microbe interactions,Research on the human microbiome has taught us a tremendous amount about animal microbe interactions. Many commercially important marine organisms also have microbiomes. We are working to understand their role in organism health. ,Bowen Lab
COVID-19 modeling and wastewater surveillance,,Emergent Epidemics Lab
Physical Genetics ,"We develop novel theoretical approaches to characterize the structure and function of the genome using the tools of statistical physics, information theory, and computational modeling.",Di Pierro Lab
Cellular Analogues,"Molecular level control over membrane surface chemistry allows cells to alter their binding affinity. Cells dynamically control their local molecular density, diffusivity, and membrane elasticity by organizing the ensemble of lipids, sugars, and proteins on their membranes. One model system mimics leukocyte-endothelial cell adhesions by complementing the assembly of molecules on cytokine-activated endothelial cell surfaces.",Bioresponsive Drug Delivery and Tissue Engineering Lab
