DOI,title,publishDate,journal
10.1145/2488388.2488435,Measuring Personalization of Web Search,2013,Association for Computing Machinery
10.1145/2815675.2815714,"Location, Location, Location: The Impact of Geolocation on Web Search Personalization",2015,Internet Measurement Conference
10.1145/2872427.2883016,MapWatch: Detecting and Monitoring International Border Personalization on Online Maps,2016,World Wide Web
10.1145/3134677,Suppressing the Search Engine Manipulation Effect (SEME),2017,Association for Computing Machinery
10.1145/3274417,Auditing Partisan Audience Bias within Google Search,2018,Association for Computing Machinery
10.1145/2998181.2998327,Bias in Online Freelance Marketplaces: Evidence from TaskRabbit and Fiverr,2017,Association for Computing Machinery
10.18122/B20Q5R,Academic performance prediction in a gender-imbalanced environment,2017,Association for Computing Machinery
10.1145/3173574.3174225,Investigating the Impact of Gender on Rank in Resume Search Engines,2018,Association for Computing Machinery
10.1145/2663716.2663744,Measuring Price Discrimination and Steering on E-commerce Web Sites,2014,Internet Measurement Conference
10.1145/2815675.2815681,Peeking Beneath the Hood of Uber,2015,Internet Measurement Conference
10.1145/2872427.2883089,An Empirical Analysis of Algorithmic Pricing on Amazon Marketplace,2016,World Wide Web
10.1145/3178876.3186134,"On Ridesharing Competition and Accessibility: Evidence from Uber, Lyft, and Taxi",2018,World Wide Web
10.1145/2987443.2987469,Recommended For You: A First Look at Content Recommendation Networks,2016,Internet Measurement Conference
10.1016/j.artmed.2015.06.004,Removing confounding factors via constraint-based clustering: An application to finding homogeneous groups of multiple sclerosis patients,2015,Elsevier
10.1001/jamaoto.2014.3519,Clinical Vestibular Testing Assessed With Machine-Learning Algorithms,2015,JAMA Network
10.1016/j.yebeh.2015.04.055,Cortical feature analysis and machine learning improves detection of ìMRI-negativeî focal cortical dysplasia,2015,Elsevier
10.1038/d41586-021-00314-6,A wealth of discovery built on the Human Genome Project ó by the numbers,2021,Nature
10.1038/s41598-020-80091-w,Social network structure and composition in former NFL football players,2021,Scientific Reports
10.1101/2020.05.04.076315,Uncovering the genetic blueprint of the C. elegans nervous system,2020,PNAS
10.5555/3091125.3091240,Is it just me?: evaluating attribution of negative feedback as a function of virtual instructorís gender and proxemics,2017,Autonomous Agents & Multiagent Systems 
10.1109/ACII.2017.8273590,Assessing personality through objective behavioral sensing,2017,IEEE
10.1007/978-3-319-67401-8_19,Negative feedback in your face: examining the effects of proxemics and gender on learning,2017,Intelligent Virtual Agents
10.1007/978-3-319-41649-6_23,Integrating model-based prediction and facial expressions in the perception of emotion,2016,International Conference on Artificial General Intelligence
10.5555/2936924.2937063,"Do as i say, not as i do: challenges in delegating decisions to automated agents",2016,Autonomous Agents & Multiagent Systems 
10.1109/ACII.2015.7344572,Emotional perception for updating agentsí beliefs,2015,International Conference on Affective Computing and Intelligent Interaction (ACII)
10.1109/ACII.2015.7344558,The appraisal equivalence hypothesis: verifying the domain-independence of a computational model of emotion dynamics,2015,International Conference on Affective Computing and Intelligent Interaction (ACII)
10.5555/2615731.2615857,Gesture generation with low-dimensional embeddings,2014,Autonomous Agents & Multiagent Systems 
10.1007/978-3-319-09767-1_34,Metaphoric gestures: towards grounded mental spaces,2014,International Conference on Intelligent Virtual Agents Conference
10.1016/j.respol.2021.104212,"Incentives, competition, and inequality in markets for creative production",2021,Research Policy
10.1038/s41467-020-20436-1,Make Your Crowd Smart,2020,Sloan Management Review
10.1126/science.aau7224,Quantifying Reputation and Success in Art,2018,Science 
10.1287/orsc.2018.1219,Learning from Mixed Signals in Online Innovation Communities,2018,Organization Science 
10.1080/2326263X.2014.996066,RSVP IconMessenger: icon-based brain-interfaced alternative and augmentative communication,2014,Brain Computer Interfaces
10.1145/2661334.2661422,DigitCHAT: enabling AAC input at conversational speed,2014,Association for Computing Machinery
10.1145/2661334.2661339,SpeechOmeter: heads-up monitoring to improve speech clarity,2014,Association for Computing Machinery
2017 :1587-1590,Can accelerometry data improve estimates of heart rate variability from wrist pulse PPG sensors?,2017,IEEE Engineering in Medicine and Biology Society
10.1016/j.outlook.2017.10.008,NUCare: advancing research on technological integration for self-management in the aging population,2017,Nursing Outlook
10.1523/JNEUROSCI.1652-20.2020,Neural Encoding and Representation of Time for Sensorimotor Control and Learning,2021,Journal of Neuroscience
10.1371/journal.pcbi.1003900,Rhythmic manipulation of objects with complex dynamics: Predictability over chaos,2014,PLoS Computational Biology
10.3389/fnagi.2014.00158,Velocity-curvature patterns matter in human-robot physical interaction,2014,Robotics and Automation Letters
10.1109/LRA.2020.2972863,Robustness in human manipulation of dynamically complex objects through control contraction metrics,2020,IEEE Robotics and Automation Letters
10.1063/1.5042090,Stability and predictability in human control of complex objects,2018,Chaos: An Interdisciplinary Journal of Nonlinear Science
10.1109/ICRA.2018.8460774,Stability and Predictability in Dynamically Complex Physical Interactions,2018,IEEE Robotics and Automation Letters
10.1044/2020_JSLHR-20-00357,Quantitative Assessment of Learning and Retention in Virtual Vocal Function Exercises,2020,Journal of Speech
10.1016/j.drudis.2014.05.003,Three dimensional human small intestine models for ADME-Tox studies,2014,National Library of Medicine
10.1159/000357369,Approaches to cell delivery: substrates and scaffolds for cell therapy,2014,National Library of Medicine
10.1371/journal.pone.0099944,Altered goblet cell differentiation and surface mucus properties in Hirschsprung disease,2014,National Library of Medicine
10.1007/s11095-013-1238-6,Effect of ingested lipids on drug dissolution and release with concurrent digestion: a modeling approach,2013,National Library of Medicine
10.1007/s13346-013-0178-3,Label-Free Raman Microspectral Analysis for Comparison of Cellular Uptake and Distribution between Non-Targeted and EGFR-Targeted Biodegradable Polymeric Nanoparticles,2013,National Library of Medicine
10.1039/c3lc41366g,Spatially monitoring oxygen level in 3D microfabricated cell culture systems using optical oxygen sensing beads,2013,National Library of Medicine
10.1089/ten.TEA.2012.0153,"Precise, biomimetic replication of the multiscale structure of intestinal basement membrane using chemical vapor deposition",2013,National Library of Medicine
