Project,Publication
Algorithm Auditing,10.1145/2488388.2488435
Algorithm Auditing,10.1145/2815675.2815714
Algorithm Auditing,10.1145/2872427.2883016
Algorithm Auditing,10.1145/3134677
Algorithm Auditing,10.1145/3274417
Algorithm Auditing,10.1145/2998181.2998327
Algorithm Auditing,10.18122/B20Q5R
Algorithm Auditing,10.1145/3173574.3174225
Algorithm Auditing,10.1145/2663716.2663744
Algorithm Auditing,10.1145/2815675.2815681
Algorithm Auditing,10.1145/2872427.2883089
Algorithm Auditing,10.1145/3178876.3186134
Algorithm Auditing,10.1145/2987443.2987469
Applied Machine Learning,10.1016/j.artmed.2015.06.004
Applied Machine Learning,10.1001/jamaoto.2014.3519
Applied Machine Learning,10.1016/j.yebeh.2015.04.055
Center for Complex Network Research,10.1038/d41586-021-00314-6
Center for Complex Network Research,10.1038/s41598-020-80091-w
Center for Complex Network Research,10.1101/2020.05.04.076315
Cognitive Embodied Social Agents Research (CESAR) Lab,10.5555/3091125.3091240
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1109/ACII.2017.8273590
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1007/978-3-319-67401-8_19
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1007/978-3-319-41649-6_23
Cognitive Embodied Social Agents Research (CESAR) Lab,10.5555/2936924.2937063
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1109/ACII.2015.7344572
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1109/ACII.2015.7344558
Cognitive Embodied Social Agents Research (CESAR) Lab,10.5555/2615731.2615857
Cognitive Embodied Social Agents Research (CESAR) Lab,10.1007/978-3-319-09767-1_34
Collaborative Social Systems Lab,10.1016/j.respol.2021.104212
Collaborative Social Systems Lab,10.1038/s41467-020-20436-1
Collaborative Social Systems Lab,10.1126/science.aau7224
Collaborative Social Systems Lab,10.1287/orsc.2018.1219
Communication Analysis and Design Laboratory (CADLAB),10.1080/2326263X.2014.996066
Communication Analysis and Design Laboratory (CADLAB),10.1145/2661334.2661422
Communication Analysis and Design Laboratory (CADLAB),10.1145/2661334.2661339
Consortium on Technology for Proactive Care,2017 :1587-1590
Consortium on Technology for Proactive Care,10.1016/j.outlook.2017.10.008
Consortium on Technology for Proactive Care,10.1523/JNEUROSCI.1652-20.2020
From Action to Interaction; Complex Object Manipulation:,10.1371/journal.pcbi.1003900
From Action to Interaction; Complex Object Manipulation:,10.3389/fnagi.2014.00158
Assessment of Stability in Complex Human Movements:,10.1109/LRA.2020.2972863
Assessment of Stability in Complex Human Movements:,10.1063/1.5042090
Assessment of Stability in Complex Human Movements:,10.1109/ICRA.2018.8460774
The MAGIC Table: A Motion-Analysis Device for Upper-Limb Research:,10.1044/2020_JSLHR-20-00357
Computational modeling of the intestinal drug delivery environment to predict the influence of delivery agents on oral drug absorption.,10.1016/j.drudis.2014.05.003
Development of biomaterials for intestinal and retinal tissue engineering.,10.1159/000357369
Analysis of transport through intestinal mucus for understanding drug-mucus interactions and how they are influenced by delivery agents.,10.1371/journal.pone.0099944
Computational modeling of the intestinal drug delivery environment to predict the influence of delivery agents on oral drug absorption.,10.1007/s11095-013-1238-6
Analysis of transport through intestinal mucus for understanding drug-mucus interactions and how they are influenced by delivery agents.,10.1007/s13346-013-0178-3
Development of biomaterials for intestinal and retinal tissue engineering.,10.1039/c3lc41366g
Development of biomaterials for intestinal and retinal tissue engineering.,10.1089/ten.TEA.2012.0153
Analysis of transport through intestinal mucus for understanding drug-mucus interactions and how they are influenced by delivery agents.,10.1016/j.jconrel.2010.11.034
"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",10.1523/JNEUROSCI.2043-18.2019
"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",10.1016/j.neulet.2018.01.042
"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",10.1073/pnas.1306095110
"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",10.1038/s41598-020-57653-z
Modeling Networks and Network Dynamics,10.1038/s41598-017-06866-w
Modeling Networks and Network Dynamics,10.1016/j.conb.2012.12.012
Neural basis of affective experience,10.1093/scan/nsw104
Neural basis of affective experience,10.106/j.biopsych.2012.10.001
Neural basis of affective experience,10.1093/cercor/bhv001
Neural basis of affective experience,10.3389/fpsyg.2015.01860
Cognitive control in social and affective neuroscience,10.1016/j.brainres.2006.01.005
Cognitive control in social and affective neuroscience,11.0302-C002.indd
Cognitive control in social and affective neuroscience,10.1093/cercor/bhs408
Concepts and Emotion,10.1016/j.tics.2019.07.003
Concepts and Emotion,10.1093/scan/nsw121
Concepts and Emotion,10.1371/journal.pcbi.1004066
Concepts and Emotion,10.1177/0963721414553440
Examining how the braing regulates aging and resilience to stress,10.1038/s41598-020-73987-0
Examining how the braing regulates aging and resilience to stress,10.1016/j.tma.2020.07.002
Examining how the braing regulates aging and resilience to stress,10.7554/eLife.56186
Examining how the braing regulates aging and resilience to stress,10.1007/978-1-4939-7471-9_4
Examining how the braing regulates aging and resilience to stress,10.3390/biology7010001
In Silico Small Molecule Design,10.1371/journal.pone.0228487
Remote residue participation in Enzyme catalysis,10.1074/jbc.RA118.005914
Superfamily and Structural Genomics Research,10.1016/j.steroids.2019.02.003
In Silico Small Molecule Design,10.1021/acs.biochem.7b01004.
Remote residue participation in Enzyme catalysis,10.1021/acs.jmedchem.7b01400
Superfamily and Structural Genomics Research,10.1002/pro.3416
In Silico Small Molecule Design,10.3987/COM-18-S(T)50
Remote residue participation in Enzyme catalysis,10.1155/2017/4852537
Lyme Disease,10.1128/mBio.02310-20
Uncultured Bacteria,10.1128/mBio.01516-20
Drug Discovery,10.1016/j.cell.2020.02.056
Drug Discovery,10.1038/s41586-019-1791-1
Persisters,10.1128/mBio.01930-19
Uncultured Bacteria,10.1038/s41564-018-0307-3
Nutrient enrichment of marshes,10.1038/ncomms12881
Nutrient enrichment of marshes,10.1007/s12237-016-0067-3
Nutrient enrichment of marshes,10.3389/fmicb.2013.00342
Restoring salt marsh ecosystem services,10.3354/ame01837
Controls on nitrous oxide fluxes,10.1002/2016JG003484
Controls on nitrous oxide fluxes,10.1357/002224015815848820
Plant Microbe interactions,10.1038/s41467-017-00626-0
Animal Microbe interactions,10.7287/peerj.preprints.3017v1
COVID-19 modeling and wastewater surveillance,10.4269/ajtmh.20-1502
COVID-19 modeling and wastewater surveillance,10.1101/2020.10.27.20220897
COVID-19 modeling and wastewater surveillance,10.1016/S2589-7500(20)30293-4
COVID-19 modeling and wastewater surveillance,10.1038/s41591-020-1104-0
COVID-19 modeling and wastewater surveillance,10.1126/science.abb4218
Cellular Analogues,10.1021/mp9003095
Cellular Analogues,10.1016/j.biomaterials.2009.09.107
Bioresponsive Drug Delivery,10.1016/j.biomaterials.2011.08.093
Bioresponsive Drug Delivery,10.1016/j.biomaterials.2010.04.048
Bioresponsive Drug Delivery,10.1021/nl902789s
Bioresponsive Drug Delivery,10.1016/j.biomaterials.2007.12.041
Biomaterials Design,10.1002/marc.201400278
Biomaterials Design,10.1016/j.tibtech.2019.09.008
Biomaterials Design,10.1158/2326-6074
Biomaterials Design,10.1007/978-3-030-34475-7_22
Tissue Engineering,10.1002/mame.201900824
